Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,checkpoint_path,class_weight_0,class_weight_1,epochs,filter_name,final_model_path,fine_tuning,learning_rate,train_samples,unfreeze_from_layer,val_samples,train_accuracy,train_loss,val_accuracy,val_loss,val_precision,val_recall
2026-02-12 03:28:10,32.7min,61e6d276fe20456a90c3b3df9b776ee3,gaussian_clahe_ft_ep30_lr0.0001_20260212_062810,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_gaussian_clahe_20260212_062810_best.h5,2.3940149625935163,0.6319947333772219,30,gaussian_clahe,/app/models/production/finetuning_gaussian_clahe_20260212_062810_final.h5,True,0.0001,1920,120,640,0.8890625238418579,0.2091350257396698,0.7015625238418579,1.0202991962432861,0.7024726803972695,0.8057784201522034
2026-02-12 04:32:33,40.4min,b15493d1928c4d109d0fc766dce297c7,gaussian_ft_ep30_lr0.0001_20260212_073233,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_gaussian_20260212_073233_best.h5,2.3940149625935163,0.6319947333772219,30,gaussian,/app/models/production/finetuning_gaussian_20260212_073233_final.h5,True,0.0001,1920,140,640,0.8630208373069763,0.2631071209907532,0.6953125,0.9342831373214722,0.6999023199023199,0.8018258509822429
2026-02-12 05:43:49,12.4min,f6f44336510f4b1086f1eb19cf2a3e45,gaussian_ft_ep30_lr0.0001_20260212_084349,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_gaussian_20260212_084349_best.h5,2.3940149625935163,0.6319947333772219,30,gaussian,/app/models/production/finetuning_gaussian_20260212_084349_final.h5,True,0.0001,1920,100,640,0.8494791388511658,0.28601425886154175,0.6968749761581421,0.6011664867401123,0.6986991679362475,0.8000707922836411
2026-02-12 05:13:01,30.7min,ddc834a3dfdb410c8798f4fd48cf24b8,gaussian_ft_ep30_lr0.0001_20260212_081301,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_gaussian_20260212_081301_best.h5,2.3940149625935163,0.6319947333772219,30,gaussian,/app/models/production/finetuning_gaussian_20260212_081301_final.h5,True,0.0001,1920,120,640,0.890625,0.22986353933811188,0.6968749761581421,0.8422120809555054,0.6986991679362475,0.8000707922836411
2026-02-12 01:01:38,41.0min,7f0a8ebe4cf64721944269fa4450c7af,none_ft_ep30_lr0.0001_20260212_040138,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_none_20260212_040138_best.h5,2.3940149625935163,0.6319947333772219,30,none,/app/models/production/finetuning_none_20260212_040138_final.h5,True,0.0001,1920,140,640,0.8505208492279053,0.2669048309326172,0.698437511920929,0.7643898129463196,0.6975312258908779,0.7983157335850393
2026-02-12 02:39:26,48.7min,7eb8b5598ede4e0cace1f2861683f81f,gaussian_clahe_ft_ep30_lr0.0001_20260212_053926,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_gaussian_clahe_20260212_053926_best.h5,2.3940149625935163,0.6319947333772219,30,gaussian_clahe,/app/models/production/finetuning_gaussian_clahe_20260212_053926_final.h5,True,0.0001,1920,140,640,0.8500000238418579,0.2567051351070404,0.6937500238418579,0.8012112379074097,0.6974136583841225,0.7980945076986609
2026-02-11 01:25:48,29.9min,200793e0f263437cac0f5b1d72ba7b81,sobel_ep30_bs32_20260211_042548,LOCAL,/app/scripts/run_filter_experiments.py,root,FINISHED,32,/app/models/checkpoints/filter-experiments_sobel_20260211_042548_best.h5,2.3940149625935163,0.6319947333772219,30,sobel,/app/models/production/filter-experiments_sobel_20260211_042548_final.h5,,0.001,1920,,640,0.7421875,0.5129173398017883,0.784375011920929,0.46457093954086304,0.7123515024458421,0.7868267358857884
2026-02-12 04:17:28,15.0min,92e52f6209034f32926eda39c4279bde,gaussian_clahe_ft_ep30_lr0.0001_20260212_071728,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_gaussian_clahe_20260212_071728_best.h5,2.3940149625935163,0.6319947333772219,30,gaussian_clahe,/app/models/production/finetuning_gaussian_clahe_20260212_071728_final.h5,True,0.0001,1920,80,640,0.8520833253860474,0.27855315804481506,0.6265624761581421,0.8488391637802124,0.6796246648793566,0.7638339920948616
2026-02-12 02:13:56,13.4min,a1bcf795340a4974a1adfaaf223fd568,none_ft_ep30_lr0.0001_20260212_051356,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_none_20260212_051356_best.h5,2.3940149625935163,0.6319947333772219,30,none,/app/models/production/finetuning_none_20260212_051356_final.h5,True,0.0001,1920,100,640,0.8494791388511658,0.28460872173309326,0.5953124761581421,1.024240493774414,0.6704834605597965,0.7440711462450593
2026-02-12 02:27:24,12.0min,769536a1f0b34d2c84ea8fe2cf4f25ec,none_ft_ep30_lr0.0001_20260212_052724,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_none_20260212_052724_best.h5,2.3940149625935163,0.6319947333772219,30,none,/app/models/production/finetuning_none_20260212_052724_final.h5,True,0.0001,1920,80,640,0.862500011920929,0.2739918529987335,0.44062501192092896,1.5126738548278809,0.6361788617886179,0.6462450592885376
2026-02-12 07:46:38,14.7min,fe2dfb6464cb450ba96a71a2a7f3b10f,clahe_ft_ep30_lr0.0001_20260212_104638,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_clahe_20260212_104638_best.h5,2.3940149625935163,0.6319947333772219,30,clahe,/app/models/production/finetuning_clahe_20260212_104638_final.h5,True,0.0001,1920,100,640,0.8614583611488342,0.2967003583908081,0.4140625,1.8526623249053955,0.6316306483300589,0.6294466403162056
2026-02-12 06:36:43,21.9min,0b2370ae0069474292469c1cb84574a8,clahe_ft_ep30_lr0.0001_20260212_093643,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_clahe_20260212_093643_best.h5,2.3940149625935163,0.6319947333772219,30,clahe,/app/models/production/finetuning_clahe_20260212_093643_final.h5,True,0.0001,1920,140,640,0.8411458134651184,0.31798601150512695,0.39531248807907104,2.0481772422790527,0.6285988483685221,0.6175889328063241
2026-02-12 04:00:54,16.5min,5d9a098511c5421394ce2a093d5bda3a,gaussian_clahe_ft_ep30_lr0.0001_20260212_070054,LOCAL,/app/scripts/run_finetuning.py,root,FINISHED,32,/app/models/checkpoints/finetuning_gaussian_clahe_20260212_070054_best.h5,2.3940149625935163,0.6319947333772219,30,gaussian_clahe,/app/models/production/finetuning_gaussian_clahe_20260212_070054_final.h5,True,0.0001,1920,100,640,0.8536458611488342,0.2789361774921417,0.3671875,2.836087703704834,0.6243042671614101,0.599802371541502
